Entity,Code,Year,Biofuels Consumption - TWh - Total (zero filled),Solar Consumption - TWh (zero filled),Wind Consumption - TWh (zero filled),Hydro Consumption - TWh (zero filled),Nuclear Consumption - TWh (zero filled),Gas Consumption - TWh (zero filled),Coal Consumption - TWh (zero filled),Oil Consumption - TWh (zero filled),Geo Biomass Other - TWh (zero filled)
Africa,,1987,0,0,0,136.2679453,17.13055556,323.3843572,828.3197322,1047.210547,0.658
Africa,,1988,0,0,0,148.8707122,29.14722222,358.4445406,890.1608047,1090.467235,0.626
Africa,,1989,0,0,0,156.3228189,30.83055556,371.4710411,835.6208619,1130.031143,0.617
Africa,,1990,0,0,0,159.0407197,23.46944444,398.6453844,877.8098614,1145.123741,0.808
Africa,,1991,0,0,0,168.4763567,25.4,401.6355931,853.1945686,1148.661007,0.824
Africa,,1992,0,0,0,160.7230325,25.80000083,421.2702575,858.3007481,1171.737778,0.85425
Africa,,1993,0,0,0.005555556,157.4514092,20.15277806,412.6439775,871.6152064,1181.508105,0.9397
Africa,,1994,0,0,0.015,159.9890239,26.93611083,431.8279522,894.1687308,1221.541966,0.837
Africa,,1995,0,0,0.0175,166.0246581,31.391665,461.2434978,921.80284,1264.970824,1.0207
Africa,,1996,0,0,0.019722222,173.1012742,32.70833361,484.1917481,934.5518386,1296.483155,1.260093088
Africa,,1997,0,0,0.02,177.3680489,35.13055528,474.4755361,958.3213992,1331.656758,1.388640408
Africa,,1998,0,0,0.021111111,185.1524664,37.78055389,499.3369944,936.3072786,1363.769156,1.714549286
Africa,,1999,0,0,0.055,196.3451703,35.65833306,504.0196075,965.48062,1414.156084,1.696124799
Africa,,2000,0,0.033169444,0.4875,209.0161572,36.13888917,556.8223564,963.273915,1421.515377,2.269063158
Africa,,2001,0,0.041285833,1.146892778,223.1639531,29.581655,634.6361539,975.5876619,1434.980824,2.335352632
Africa,,2002,0.490896786,0.049001111,1.216278611,233.56209,32.87854694,670.6053761,934.1009275,1467.21587,2.2864
Africa,,2003,0.541321426,0.058107778,1.459163889,225.7747156,34.49855556,711.5067125,1016.712642,1507.737655,2.6224
Africa,,2004,0.636755185,0.069735278,2.079740278,236.6071619,36.17947222,783.0682181,1118.289999,1557.324283,2.978849535
Africa,,2005,0.242882524,0.082514722,2.099129167,239.5755508,30.37581028,807.7815881,1038.031248,1650.403414,3.009669408
Africa,,2006,0.072299557,0.104130278,2.278870278,246.5650944,26.799055,843.9347886,1052.766009,1658.473247,3.770404784
Africa,,2007,0.783730979,0.136885278,2.699343333,253.2483672,30.06078083,900.5199158,1070.183713,1717.399027,3.142048288
Africa,,2008,0.587756432,0.193314722,3.462768333,256.4708939,34.32732833,935.6593228,1179.48391,1805.798055,3.267395686
Africa,,2009,0.332804499,0.252253056,4.169278611,261.7190319,33.59598611,941.3703819,1174.427544,1876.058328,3.56272219
Africa,,2010,0.195927701,0.554118611,5.956733333,280.1006372,35.269785,981.2584944,1162.992136,1966.073788,3.825406558
Africa,,2011,0.519572175,1.558646944,6.184537778,286.2137131,33.43506111,1061.085589,1145.84492,1911.735672,3.929656611
Africa,,2012,0.591810489,2.561444444,6.479653611,285.7862278,33.40096611,1147.177736,1117.771956,2017.014552,4.085024546
Africa,,2013,0.596027966,2.0198,9.200091111,301.1837936,36.11475472,1170.253779,1129.61167,2090.719525,4.4308941
Africa,,2014,0.491689464,4.931272778,12.87743083,314.8735794,35.10449028,1241.319161,1183.122059,2123.774249,5.521055906
Africa,,2015,0.607472808,9.087343333,22.54191472,303.9960139,30.95669639,1324.946863,1117.560296,2197.003236,7.191202122
Africa,,2016,0.537868127,12.87623472,28.1062575,293.5236225,37.78727806,1370.919079,1187.789696,2214.010136,7.281251193
Africa,,2017,0.545950673,17.25611639,31.14443528,314.5413056,35.4825,1449.80345,1187.481281,2229.898823,7.653766329
Africa,,2018,0.857406178,20.61730639,36.71086222,330.9047467,28.78070167,1540.247786,1167.454926,2271.58872,8.097891299
Africa,,2019,0.777126632,27.00784944,46.69581972,339.77531,33.66663944,1553.384218,1199.230132,2299.14435,8.22808243
Africa,,2020,0.77198798,30.61148972,53.75816167,351.7496503,38.38613,1529.68159,1141.118619,1996.292057,8.068135119
Algeria,DZA,1965,0,0,0,1.111111111,0,7.4305,0.8141,15.40525194,0
Algeria,DZA,1966,0,0,0,0.986111111,0,7.71925,0.79084,20.27270528,0
Algeria,DZA,1967,0,0,0,1.138888889,0,7.48825,0.60476,18.94203111,0
Algeria,DZA,1968,0,0,0,1.563888889,0,7.87325,0.63965,20.16730139,0
Algeria,DZA,1969,0,0,0,1.002777778,0,10.3516875,0.8141,21.30593,0
Algeria,DZA,1970,0,0,0,1.611111111,0,9.730875,0.96529,24.34768083,0
Algeria,DZA,1971,0,0,0,0.916666667,0,11.0495,0.26749,27.44005028,0
Algeria,DZA,1972,0,0,0,1.375,0,12.830125,0.2326,30.12141417,0
Algeria,DZA,1973,0,0,0,2.088888889,0,17.8591875,0.26749,32.900345,0
Algeria,DZA,1974,0,0,0,1.380555556,0,20.6745,0.22097,36.54384083,0
Algeria,DZA,1975,0,0,0,0.911111111,0,28.49,0.27912,40.6306675,0
Algeria,DZA,1976,0,0,0,1.080555556,0,33.6875,0.54661,46.7177325,0
Algeria,DZA,1977,0,0,0,0.747222222,0,35.90125,0.70943,52.80649361,0
Algeria,DZA,1978,0,0,0,0.694444444,0,57.65375,0.36053,54.60794472,0
Algeria,DZA,1979,0,0,0,0.808333333,0,81.52375,0.83736,65.31861722,0
Algeria,DZA,1980,0,0,0,0.713888889,0,109.43625,0.74432,66.20243,0
Algeria,DZA,1981,0,0,0,1.016666667,0,142.2575,0.52335,71.32307278,0
Algeria,DZA,1982,0,0,0,1.330555556,0,161.41125,9.71105,75.57341778,0
Algeria,DZA,1983,0,0,0,0.652777778,0,176.715,8.66435,84.89242111,0
Algeria,DZA,1984,0,0,0,1.255555556,0,155.25125,9.60638,94.00200639,0
Algeria,DZA,1985,0,0,0,1.794444444,0,153.8075,10.02506,96.55380306,0
Algeria,DZA,1986,0,0,0,0.694444444,0,168.4375,10.29255,98.02125417,0
Algeria,DZA,1987,0,0,0,1.386111111,0,172.2875,12.30454,99.10052389,0
Algeria,DZA,1988,0,0,0,0.508333333,0,194.13625,11.57185,99.17259861,0
Algeria,DZA,1989,0,0,0,0.627777778,0,182.6825,9.78083,103.9366611,0
Algeria,DZA,1990,0,0,0,0.375,0,195.09875,7.66417,111.8116158,0
Algeria,DZA,1991,0,0,0,0.813888889,0,192.6925,7.9084,110.6277861,0
Algeria,DZA,1992,0,0,0,0.552777778,0,198.94875,9.39704,111.2926556,0
Algeria,DZA,1993,0,0,0,0.980555556,0,178.54375,7.65254,110.7548767,0
Algeria,DZA,1994,0,0,0,0.461111111,0,188.16875,7.2106,106.0508958,0
Algeria,DZA,1995,0,0,0,0.536111111,0,202.22125,7.2106,103.1422828,0
Algeria,DZA,1996,0,0,0,0.375,0,207.7075,3.39596,98.42207972,0
Algeria,DZA,1997,0,0,0,0.208333333,0,194.04,5.95456,97.64341944,0
Algeria,DZA,1998,0,0,0,0.597222222,0,200.68125,6.37324,100.6587481,0
Algeria,DZA,1999,0,0,0,0.563888889,0,205.10875,6.82681,98.89834583,0
Algeria,DZA,2000,0,0,0,0.15,0,191.0129375,5.64055,103.1324797,0
Algeria,DZA,2001,0,0,0,0.190421944,0,197.322125,6.5128,106.7753339,0
Algeria,DZA,2002,0,0,0,0.156290278,0,194.838875,8.54805,118.3972297,0
Algeria,DZA,2003,0,0,0,0.721955,0,205.9316875,7.04778,123.1741181,0
Algeria,DZA,2004,0,0,0,0.679458611,0,211.8991875,8.40849,128.7468303,0
Algeria,DZA,2005,0,0,0,1.493686667,0,223.559875,6.90822,134.213385,0
Algeria,DZA,2006,0,0,0,0.581635278,0,228.4975,10.25766,139.8457208,0
Algeria,DZA,2007,0,0,0,0.6003125,0,233.8068144,8.80391,156.3899964,0
Algeria,DZA,2008,0,0,0,0.747049722,0,244.041875,8.80391,169.9158964,0
Algeria,DZA,2009,0,0,0,0.897222222,0,262.117625,5.65218,180.1344294,0
Algeria,DZA,2010,0,0.023722222,0,0.451073611,0,253.27225,3.6053,181.6119161,0
Algeria,DZA,2011,0,0.046954167,0,0.979573056,0,267.969625,3.19825,192.2276531,0
Algeria,DZA,2012,0,0.068831944,0,1.001969722,0,298.74075,3.39596,204.3952678,0
Algeria,DZA,2013,0,0.073222778,0,0.253463889,0,321.215125,1.83754,213.576385,0
Algeria,DZA,2014,0,0.152694722,0.002544444,0.491167778,0,360.91825,2.08177,221.9251528,0
Algeria,DZA,2015,0,0.146726111,0.048065556,0.366815556,0,379.225,1.54679,236.1484833,0
Algeria,DZA,2016,0,0.616124167,0.047911944,0.181065,0,385.9625,0.56987,229.5638514,0
Algeria,DZA,2017,0,1.26,0.0475,0.14,0,394.625,2.11666,225.5121158,0
Algeria,DZA,2018,0,1.498684167,0.024861111,0.290789444,0,434.0875,5.815,229.3377981,0
Algeria,DZA,2019,0,1.522873056,0.02475,0.376385,0,451.4125,4.80319,237.0030956,0
Algeria,DZA,2020,0,1.480272222,0.01975,0.123356111,0,430.815,4.80319,201.2548511,0
Argentina,ARG,1965,0,0,0,3.402777778,0,41.234,8.455049167,275.2402817,0
Argentina,ARG,1966,0,0,0,3.447222222,0,44.6572,6.971818333,283.8862781,0
Argentina,ARG,1967,0,0,0,3.530555556,0,46.69945,7.840396944,290.7273017,0
Argentina,ARG,1968,0,0,0,4.161111111,0,51.999575,7.619035278,296.7711617,0
Argentina,ARG,1969,0,0,0,3.733333333,0,51.805075,9.12217,307.9790344,0
Argentina,ARG,1970,0,0,0,4.319444444,0,58.5445,11.72259833,278.4058394,0.047540991
Argentina,ARG,1971,0,0,0,4.288888889,0,63.202775,10.27754194,296.4877342,0.049864614
Argentina,ARG,1972,0,0,0,4.177777778,0,70.924425,8.651295,295.1728381,0.064353152
Argentina,ARG,1973,0,0,0,8.316666667,0,80.707775,9.496521944,297.2387992,0.049042434
Argentina,ARG,1974,0,0,0,13.96666667,2.877777778,85.4244,11.82592194,297.0972267,0.050067671
Argentina,ARG,1975,0,0,0,14.44722222,6.991666667,87.525,11.51094028,281.2694303,0.054922642
Argentina,ARG,1976,0,0,0,13.925,7.144444444,98.51425,11.64258528,290.1952764,0.050202792
Argentina,ARG,1977,0,0,0,16.01666667,4.547222222,102.8905,11.00850306,305.6309725,0.053855108
Argentina,ARG,1978,0,0,0,21.53333333,8.044444444,100.07025,13.41919528,297.2691469,0.054136662
Argentina,ARG,1979,0,0,0,29.61111111,7.477777778,102.8905,12.50167389,319.8497486,0.084393763
Argentina,ARG,1980,0,0,0,42.06666667,6.5,112.12925,11.14458972,296.9779736,0.086251568
Argentina,ARG,1981,0,0,0,40.79166667,7.822222222,117.18625,10.56046722,278.5659058,0.0747225
Argentina,ARG,1982,0,0,0,48.86944444,5.194444444,133.13525,10.66607611,265.0183489,0.095912465
Argentina,ARG,1983,0,0,0,51.16388889,9.458333333,143.152,9.679963333,268.7532136,0.137314784
Argentina,ARG,1984,0,0,0,55.22222222,12.89166667,152.39075,7.185223611,255.6005861,0.097392792
Argentina,ARG,1985,0,0,0,57.35,16.01666667,155.69725,10.59960583,237.5202364,0.103321614
Argentina,ARG,1986,0,0,0,58.35833333,15.86388889,168.2425,12.10934944,249.7189631,0.107078921
Argentina,ARG,1987,0,0,0,60.66944444,17.95833333,168.33975,13.43967278,266.5530767,0.108156823
Argentina,ARG,1988,0,0,0,41.75833333,16.10555556,196.6395,13.77234972,268.3337414,0.121116047
Argentina,ARG,1989,0,0,0,36.01388889,13.99722222,206.559,14.90276806,246.3207436,0.119376908
Argentina,ARG,1990,0,0,0,49.65555556,20.225,197.32025,12.26613222,229.9596961,0.106763284
Argentina,ARG,1991,0,0,0,45.05833333,21.54444444,200.9185,10.7940125,240.2567117,0.099600404
Argentina,ARG,1992,0,0,0,54.94180694,19.66944444,217.2565,12.16816361,252.6929817,0.101865495
Argentina,ARG,1993,0,0,0,65.43187417,21.52777778,229.41275,8.069987222,247.7533108,0.107438403
Argentina,ARG,1994,0,0,0,77.70218861,22.875,235.83125,7.065106944,261.4820683,0.119290038
Argentina,ARG,1995,0,0,0,79.05033667,19.62777778,262.47775,7.4141525,259.5302825,0.115592457
Argentina,ARG,1996,0,0,0.026716667,72.06994944,20.71944444,301.18325,7.766816111,259.7977242,0.351397492
Argentina,ARG,1997,0,0,0.040533333,91.74988778,22.11388889,277.5515,6.127713889,275.2863658,0.44563205
Argentina,ARG,1998,0,4.72E-05,0.090391667,90.06052194,20.70277778,296.70975,8.237409444,283.2721097,0.463881203
Argentina,ARG,1999,0,7.22E-05,0.096613889,73.69464083,19.73888889,314.701,9.885469444,286.9597606,0.650455143
Argentina,ARG,2000,0,0.0001,0.09655,94.53891694,17.15833333,322.96725,7.512647222,264.8978394,0.67501431
Argentina,ARG,2001,0,0.000118611,0.136223611,115.6421208,19.48100639,302.35025,6.156852222,245.2950139,0.60932585
Argentina,ARG,2002,0,0.000128889,0.201271667,113.6999772,15.96080639,294.37575,4.586296389,232.8151744,0.850248638
Argentina,ARG,2003,0,0.000177222,0.212374722,106.4681689,20.6125,336.2905,5.593864722,237.4220572,1.014079858
Argentina,ARG,2004,0,0.000189444,0.196111667,95.83581833,21.30143306,368.09125,9.519819444,254.6864461,0.90029509
Argentina,ARG,2005,0,0.000217778,0.192916944,105.8467636,18.4875,392.89,10.961645,266.7581122,1.074072901
Argentina,ARG,2006,0,0.000240556,0.186144722,116.6050314,20.63789306,406.505,9.923820556,281.3517575,1.567410315
Argentina,ARG,2007,0,0.000288889,0.163606389,100.2495311,19.2684375,427.122,14.36036111,313.7455428,1.575708696
Argentina,ARG,2008,0,0.000380556,0.110740556,98.19611806,19.51832306,431.88725,17.51606861,317.0516533,1.693536384
Argentina,ARG,2009,0,0.000199722,0.096625833,106.9924383,21.46774694,418.3555828,9.620938056,303.0577053,1.728756162
Argentina,ARG,2010,5.923413867,0.000223889,0.066100833,105.7102761,18.79907972,420.8741656,13.47208,328.1579833,2.01325481
Argentina,ARG,2011,8.745168947,0.004194444,0.068908333,102.7282011,16.58536583,438.3978869,14.61864528,340.0057697,2.190205828
Argentina,ARG,2012,10.79793272,0.021055556,0.952674722,94.98363639,16.49,456.6420933,13.66918056,361.2563983,2.45382161
Argentina,ARG,2013,11.90239711,0.038593333,1.160697778,104.2018072,15.89141556,460.2768897,14.93930278,383.7835186,2.45735005
Argentina,ARG,2014,13.89124529,0.040576111,1.576548889,103.9952094,14.03263472,461.5497906,15.89171667,379.9156178,2.302025252
Argentina,ARG,2015,15.13098493,0.037144444,1.500996111,105.6704317,17.80699417,466.5256828,15.81412917,387.3086522,2.378258598
Argentina,ARG,2016,16.03718275,0.035893611,1.376494444,96.20187667,20.83505917,482.1001119,12.18864139,375.2942333,1.963408643
Argentina,ARG,2017,18.42794525,0.0410425,1.5289175,103.8574464,15.22,483.0002856,12.52528806,370.8971903,2.383654508
Argentina,ARG,2018,17.59417551,0.268744167,3.511203333,103.5107761,17.07953222,487.0423969,13.70914778,353.2107044,0.473010421
Argentina,ARG,2019,17.97012042,1.980225278,12.37109444,91.78538917,20.90669583,465.5947283,8.1239625,318.8111664,0.622944562
Argentina,ARG,2020,9.645982611,3.316650556,23.3643625,75.35471278,26.30548139,439.2985958,8.860226111,287.4443578,0.413941191
Asia Pacific,,1965,0,0,0,433.5820961,0.069444444,56.23196778,2780.731447,1920.187261,1.644
Asia Pacific,,1966,0,0,0,450.8661867,1.622222222,62.38925306,2931.512194,2190.441967,1.643
Asia Pacific,,1967,0,0,0,424.6298539,1.747222222,71.39151194,2854.298672,2552.274572,1.424
Asia Pacific,,1968,0,0,0,467.3586639,2.9,77.81803056,2896.733147,2918.12605,1.577
Asia Pacific,,1969,0,0,0,483.7883428,5.018837778,102.6004244,3250.187856,3389.417206,1.608
Asia Pacific,,1970,0,0,0,501.9722511,16.35872889,142.3247253,3631.138589,3940.350597,1.776704
Asia Pacific,,1971,0,0,0,553.5613328,25.08578167,169.5509092,3886.852383,4381.147419,1.754611
Asia Pacific,,1972,0,0,0,569.7667028,29.46374167,196.4152639,4036.591242,4717.656914,1.785591
Asia Pacific,,1973,0,0,0,538.9211778,33.44567556,242.4114608,4134.1764,5366.534089,1.834998
Asia Pacific,,1974,0,0,0,605.2905819,61.188955,302.3359214,4234.736278,5331.726044,2.496269105
Asia Pacific,,1975,0,0,0,645.6784733,77.43968389,351.2437467,4557.451228,5306.770397,2.654334368
Asia Pacific,,1976,0,0,0,647.9260275,103.4781367,406.0529114,4665.680858,5643.635994,2.587064579
Asia Pacific,,1977,0,0,0,630.6619833,94.46730611,499.8471169,4975.578106,5932.813136,2.622443474
Asia Pacific,,1978,0,0,0,658.4622483,185.3834611,599.6766681,5219.295661,6301.567853,2.917471368
Asia Pacific,,1979,0,0,0,713.8385408,228.5378839,685.4793231,5472.163028,6463.623306,3.712920421
Asia Pacific,,1980,0,0,0,759.5756078,268.8751411,735.7758756,5784.005814,6127.366589,5.173433158
Asia Pacific,,1981,0,0,0,804.804695,288.9421317,743.9332625,5975.036081,5959.108447,7.071965421
Asia Pacific,,1982,0,0,0,785.1866317,337.92071,773.78874,6185.451722,5798.668978,15.95189475
Asia Pacific,,1983,0,0,0,831.5038078,404.1935061,854.4700425,6548.070175,5855.894347,18.06780657
Asia Pacific,,1984,0,0,0,831.6852611,486.1549767,999.6436919,7115.32005,6066.531417,19.74213741
Asia Pacific,,1985,0,0,0,889.012815,583.1854894,1086.390031,7676.915744,6021.54825,20.79148751
Asia Pacific,,1986,0,0,0,911.5530617,628.2446667,1186.077413,7972.320025,6246.32025,21.68989005
Asia Pacific,,1987,0,0,0,908.0313367,740.7594867,1259.013623,8546.442419,6451.111333,22.00974994
Asia Pacific,,1988,0,0,0,1004.961838,696.9999683,1342.710006,9157.763008,7008.652503,23.82670473
Asia Pacific,,1989,0,0,0,1077.898694,737.7680106,1409.274786,9570.236289,7443.342814,26.24333903
Asia Pacific,,1990,0,0.011111111,0.089786667,1109.087619,797.6069578,1520.190413,9775.451658,7890.290892,22.33408198
Asia Pacific,,1991,0,0.02625,0.338891389,1140.345201,850.35545,1667.939321,10176.3019,8225.419575,22.83825194
Asia Pacific,,1992,0,0.076666667,0.612427778,1115.346251,873.2388461,1781.317944,10529.56004,8783.481203,23.00633425
Asia Pacific,,1993,0,0.119722222,0.866213056,1223.019224,967.8605344,1866.571347,11082.44564,9163.349567,22.89851394
Asia Pacific,,1994,0,0.148333333,1.621078056,1231.383882,1033.495938,2031.96981,11635.26827,9701.833539,26.37097959
Asia Pacific,,1995,0,0.196278056,3.115559167,1342.873422,1139.449079,2128.460815,11910.25589,10384.906,30.90213872
Asia Pacific,,1996,0,0.272668333,2.7533475,1315.026224,1197.998639,2323.740708,12432.23821,10894.61853,31.45602397
Asia Pacific,,1997,0,0.408376389,3.372083333,1321.929633,1276.257356,2510.746723,12489.18891,11417.95743,34.93782766
Asia Pacific,,1998,0,0.563663611,4.137639444,1407.428596,1328.75482,2567.811709,12476.94596,11128.71209,37.54185188
Asia Pacific,,1999,0,0.795185,5.703469444,1389.563792,1351.308151,2772.913458,12857.52553,11641.61366,41.20269497
Asia Pacific,,2000,0.622033957,1.190234444,7.122075,1449.035799,1388.997987,2984.283972,13345.18639,11953.45506,44.60806485
Asia Pacific,,2001,0.754394941,1.679319722,9.707136389,1574.331289,1398.095321,3166.662208,13958.59073,12038.12918,45.24425452
Asia Pacific,,2002,11.72920699,2.27337,11.15148806,1587.33053,1423.858774,3313.420097,15027.16417,12393.47667,47.07413449
Asia Pacific,,2003,14.49742691,3.041939167,14.55046306,1619.234475,1258.733969,3588.41105,17165.07594,12892.26366,49.24454746
Asia Pacific,,2004,16.33011312,3.962475278,24.8684375,1892.609466,1435.283046,3802.256836,19317.32373,13669.89951,53.02552883
Asia Pacific,,2005,19.73953124,4.983099444,32.33010944,1958.121951,1487.882219,4084.769525,21956.02237,13710.20783,60.19216537
Asia Pacific,,2006,25.66394941,6.124030278,49.63627694,2142.903205,1518.019036,4395.146728,23642.80389,14018.0248,64.50055645
Asia Pacific,,2007,30.16833497,7.300410556,65.35206778,2263.586999,1447.031167,4733.922283,25616.3761,14482.85211,71.1346546
Asia Pacific,,2008,39.86774833,8.790476111,95.24195778,2633.883278,1396.166108,5037.243986,26329.33997,14439.65281,78.9708115
Asia Pacific,,2009,46.7323795,11.49695778,143.8913011,2539.734222,1451.828522,5156.418522,27183.12734,14547.38245,87.28922991
Asia Pacific,,2010,53.65374042,17.56620667,212.4587947,2861.898267,1519.949706,5755.561286,28428.53417,15502.93118,99.38898179
Asia Pacific,,2011,59.84985739,31.49365,294.2634892,2896.589011,1252.018378,6207.120058,30513.81103,15961.12981,108.7470051
Asia Pacific,,2012,70.63504464,45.14840861,380.5001306,3250.37885,883.2626153,6619.577622,31166.56106,16649.64625,117.6274048
Asia Pacific,,2013,88.04007703,82.74915278,482.5341022,3500.782103,880.9738389,6860.631794,31996.74358,16912.29208,129.5574817
Asia Pacific,,2014,105.8374585,159.8765544,545.3047425,3873.175581,945.1001431,7060.499258,32394.47069,17143.89534,148.0775123
Asia Pacific,,2015,91.275691,241.2030681,614.8840633,3960.607081,1061.864348,7163.782572,32241.41986,17916.63611,165.5571168
Asia Pacific,,2016,114.7301618,355.92024,782.6226967,4094.515817,1176.171285,7333.024281,32193.87453,18587.43261,170.8474133
Asia Pacific,,2017,108.9262371,549.5131631,967.7444456,4178.597639,1233.942752,7725.9257,32657.8625,19140.89748,197.4444286
Asia Pacific,,2018,138.0732646,768.2560158,1148.125714,4254.960439,1375.889216,8297.327564,33415.99833,19452.12241,221.8257512
Asia Pacific,,2019,173.026263,970.7734256,1261.3062,4436.087853,1601.900933,8581.197775,33992.20092,19630.96031,247.8146462
Asia Pacific,,2020,170.7225818,1160.282463,1412.762094,4557.304644,1615.423926,8615.945644,33603.51708,18522.62694,279.0733629
Australia,AUS,1965,0,0,0,21.36043333,0,0.029475,202.0277778,200.0193586,0.296
Australia,AUS,1966,0,0,0,20.40289667,0,0.0393,209.3888889,214.0475519,0.284
Australia,AUS,1967,0,0,0,21.12718722,0,0.0393,215.25,234.3877667,0.29
Australia,AUS,1968,0,0,0,22.08472389,0,0.304575,221.6944444,255.2849878,0.282
Australia,AUS,1969,0,0,0,24.12255833,0,4.1265,229.2777778,262.4481239,0.281
Australia,AUS,1970,0,0,0,28.25190833,0,17.30397472,231.6944444,290.1954217,0.261
Australia,AUS,1971,0,0,0,31.96511889,0,25.82667944,232.5694444,305.5445647,0.263
Australia,AUS,1972,0,0,0,32.09254,0,37.07426278,242.9305556,311.0333556,0.28
Australia,AUS,1973,0,0,0,34.12733111,0,47.0688,252.9861111,331.8929542,0.338
Australia,AUS,1974,0,0,0,38.53866722,0,53.70199028,264.0694444,351.7351633,0.429
Australia,AUS,1975,0,0,0,41.35500444,0,57.66997056,272.5416667,348.1045194,0.489
Australia,AUS,1976,0,0,0,39.31627444,0,68.0772175,281.7916667,355.8214853,0.484
Australia,AUS,1977,0,0,0,37.62208389,0,77.76843778,294.1805556,372.6007575,0.429
Australia,AUS,1978,0,0,0,40.76485944,0,83.72538056,301.8611111,380.9466936,0.405
Australia,AUS,1979,0,0,0,39.57237667,0,96.37518278,315.5416667,385.9148036,0.418
Australia,AUS,1980,0,0,0,37.40721611,0,110.6658792,324.7638889,367.7676125,0.385
Australia,AUS,1981,0,0,0,38.51762167,0,119.9443897,333.1388889,362.4183244,0.404
Australia,AUS,1982,0,0,0,35.47315,0,116.9808353,336.6805556,356.8491728,0.516
Australia,AUS,1983,0,0,0,33.6768,0,127.0748206,336.5555556,320.0834781,0.431
Australia,AUS,1984,0,0,0,36.46096889,0,125.3172639,355.9027778,330.9789436,0.441
Australia,AUS,1985,0,0,0,38.72364056,0,133.9526233,368.1388889,332.8008267,0.456
Australia,AUS,1986,0,0,0,38.96055222,0,146.3292814,377.4861111,328.1470436,0.46
Australia,AUS,1987,0,0,0,37.8161,0,149.3945908,393.3611111,336.669905,0.47
Australia,AUS,1988,0,0,0,39.81789889,0,152.9933956,413.7638889,351.9731064,0.731
Australia,AUS,1989,0,0,0,39.593525,0,166.8756414,433.9583333,366.5161922,0.81
Australia,AUS,1990,0,0,0,40.99861111,0,167.7594772,444.3472222,374.8595836,0.7595
Australia,AUS,1991,0,0.015138889,0,43.48194444,0,160.8210097,453.2638889,362.6208303,0.7195
Australia,AUS,1992,0,0.033611111,0,44.28194444,0,166.3695703,455.9583333,370.5469464,0.67
Australia,AUS,1993,0,0.040555556,0.005555556,45.51944444,0,172.4934331,458.8888889,382.0519269,0.67
Australia,AUS,1994,0,0.048333333,0.015277778,44.86111111,0,191.5665675,468.2638889,395.5891717,0.6965
Australia,AUS,1995,0,0.05875,0.019444444,43.41944444,0,193.4156922,484.1666667,427.7775011,0.8255
Australia,AUS,1996,0,0.071111111,0.019444444,44.35694444,0,194.8266325,503.9583333,439.0154078,0.9465
Australia,AUS,1997,0,0.085138889,0.020833333,44.3125,0,191.3050511,529.4583333,446.0578492,0.997
Australia,AUS,1998,0,0.098888889,0.05,43.88333333,0,196.9532064,553.0833333,445.9702453,1.081
Australia,AUS,1999,0,0.112777778,0.119444444,45.22638889,0,201.7405367,587.3693572,456.1539689,1.1335
Australia,AUS,2000,0.622033957,0.129861111,0.372222222,45.74027778,0,205.5507953,591.5835925,455.9815808,0.8895
